Lat,gun_alt,tgt alt,mass,GTAz,AOF,QE,v0,range,Max Ord,TOF,Drift,Defl
80,0,0,103.5,1879,0,629.4,790,21034,5297,64,27,1348
80,0,0,95,4219,0,483.6,699.9,15698,2816,46,22,5403
80,0,0,95,4219,0,1090.8,699.9,15698,9009,86,82,5463
80,0,0,103.5,4219,0,471,682,15698,2694,45,19,5400
80,0,0,95,4063,0,1198,587.6,10640,7853,81,111,5648
80,1000,1000,95,2464,0,1169,587.6,11878,8991,81,98,834
80,1000,1000,95,4117,0,1215,587.6,10741,9277,83,120,5603
80,2000,2000,103.5,2504,0,330.4,568,11238,3202,30,12,708
70,0,0,103.5,740,0,973.4,790,21519,9858,90,54,2514
70,0,0,103.5,5530,0,171.7,568,6950,360,16,6,4076
70,0,0,95,5670,0,394.1,587.6,11604,1557,34,15,3945
70,1000,1000,95,2402,0,462.3,699.9,16145,3743,46,21,819
70,2000,2000,95,5600,0,518.9,810.8,21581,6324,58,25,4025
70,2000,2000,95,5600,0,1118.6,810.8,21581,15053,106,94,4094
60,0,0,103.5,5617,0,646,790,21190,5502,65,27,4010
60,0,0,95,2289,0,1065.8,699.9,16163,8795,85,76,987
60,0,0,95,2466,0,1186.1,587.6,10935,7789,80,106,840
60,1000,1000,95,5571,0,644.2,810.8,21989,6747,67,31,4060
60,1000,1000,95,3833,0,1041.1,810.8,21602,12270,98,74,5841
60,1000,1000,103.5,3833,0,1064.4,790,21602,12646,100,72,5839
60,2000,2000,103.5,2491,0,1144,790,21146,15452,108,96,805
60,2000,2000,95,696,0,304.9,587.6,10870,3084,29,12,2516
60,2000,2000,103.5,5494,0,326.3,568,11143,3175,30,12,4118
50,0,0,103.5,2563,0,617.5,790,20940,5157,63,26,663
50,0,0,103.5,2563,0,1020.1,790,20940,10474,94,63,700
50,0,0,95,4051,0,731.5,810.8,21479,6574,72,35,5584
50,0,0,95,5731,0,1218,587.6,10166,7974,82,118,3987
50,0,0,95,4188,0,166,587.6,6937,354,16,6,5418
50,0,0,103.5,4188,0,170.9,568,6937,359,16,6,5418
50,1000,1000,103.5,746,0,497.1,790,20367,4864,55,21,2475
50,1000,1000,95,746,0,518.3,810.8,20367,5126,56,24,2478
50,1000,1000,95,5668,0,1207.4,699.9,13626,11529,95,122,4054
50,1000,1000,103.5,2383,0,1166.4,682,15132,11236,93,93,910
50,1000,1000,95,728,0,1071.9,587.6,13782,8296,77,69,2541
50,2000,2000,95,771,0,1162.8,810.8,20091,15652,110,115,2544
50,2000,2000,95,2366,0,1158.9,810.8,20217,15612,109,117,951
50,2000,2000,95,5315,0,165.4,587.6,7420,2367,17,6,4291
40,0,0,95,981,0,950.5,810.8,21251,9634,89,56,2275
40,0,0,103.5,4001,0,1064.8,790,20155,11000,97,70,5669
40,0,0,95,4216,0,212.6,587.6,8099,548,20,8,5392
40,1000,1000,95,973,0,590.9,810.8,20705,6065,59,25,2252
40,1000,1000,103.5,4528,0,1092.1,790,21029,12999,101,76,5148
40,1000,1000,95,5551,0,1197,699.9,13989,11447,94,115,4164
40,1000,1000,103.5,4065,0,1232.6,682,13044,11762,96,129,5664
40,1000,1000,95,4065,0,299.8,699.9,13044,2352,32,12,5547
40,1000,1000,95,774,0,1226.1,587.6,10424,9369,84,124,2550
40,1000,1000,103.5,2371,0,256.7,568,9347,1760,24,9,838
40,2000,2000,103.5,5384,0,1257.7,568,10041,10750,86,138,4354
30,0,0,95,748,0,361.3,699.9,13744,1782,37,14,2466
30,0,0,103.5,5071,0,1286.1,568,8285,8247,84,173,4702
30,0,0,103.5,2443,0,1267.9,568,8815,8180,83,151,908
30,0,0,103.5,2443,0,246.8,568,8815,693,23,8,765
30,0,0,103.5,4041,0,1262.9,568,9045,8138,83,142,5701
30,1000,1000,95,266,0,1061.1,810.8,21289,12566,100,72,3006
30,1000,1000,103.5,5378,0,168.9,568,7112,1359,16,6,4228
30,2000,2000,95,1045,0,491,810.8,21190,5988,56,22,2177
30,2000,2000,95,2767,0,1137,810.8,21026,15352,108,103,536
30,2000,2000,103.5,5756,0,330.2,682,14496,3624,35,13,3857
30,2000,2000,103.5,4308,0,316.5,682,14164,3510,34,12,5304
30,2000,2000,95,827,0,333.7,699.9,14542,3686,36,13,2386
30,2000,2000,95,2146,0,1256.2,587.6,9846,10912,88,173,1227
20,0,0,103.5,2292,0,576.9,790,20492,4662,60,22,930
20,0,0,95,2292,0,1022.6,810.8,20492,10441,94,68,976
20,0,0,103.5,4051,0,1041.8,790,20608,10725,95,65,5614
20,0,0,95,5241,0,378.3,699.9,13996,1906,38,15,4374
20,0,0,103.5,4270,0,1275.1,568,8667,8200,83,156,5486
20,1000,1000,95,757,0,1100.2,810.8,20417,13083,103,83,2526
20,1000,1000,103.5,5518,0,1199.1,682,14242,11500,94,99,4181
20,1000,1000,103.5,4313,0,1249.8,682,12388,11896,97,147,5434
20,1000,1000,103.5,2352,0,1250.3,568,9782,9411,84,132,980
20,2000,2000,103.5,2622,0,294.8,682,13712,3350,32,11,589
20,2000,2000,103.5,4046,0,277.9,682,13221,3211,31,10,5564
20,2000,2000,95,4046,0,1238.1,699.9,13221,13371,100,169,5723
20,2000,2000,103.5,1120,0,1233.1,568,10779,10641,85,113,2193
20,2000,2000,95,4109,0,1234.4,587.6,10728,10764,86,137,5628
10,0,0,103.5,4017,0,1234.3,682,12284,10264,94,127,5710
10,1000,1000,103.5,2465,0,450.8,790,19560,4316,51,19,754
10,1000,1000,103.5,3669,0,501.9,790,20428,4915,55,20,5951
10,1000,1000,103.5,3921,0,269.5,682,12413,2116,29,9,5688
10,1000,1000,103.5,5551,0,1218.4,568,10795,9206,83,99,4148
10,1000,1000,103.5,4425,0,164.1,568,6976,1341,16,5,5180
10,2000,2000,95,5565,0,1220.1,699.9,14043,13221,99,133,4168
10,2000,2000,103.5,3581,0,1174.7,682,15868,12834,96,94,6113
10,2000,2000,95,3581,0,1166.4,699.9,15868,12758,96,103,6122
10,2000,2000,95,5183,0,249.6,587.6,9634,2764,24,9,4426
10,2000,2000,103.5,5183,0,1269.8,568,9634,10825,87,154,4571
0,0,0,103.5,2342,0,622.9,790,21061,5224,64,23,881
0,1000,1000,103.5,5413,0,1203.5,682,14116,11538,95,99,4286
0,1000,1000,95,5413,0,1194.2,699.9,14116,11432,94,109,4296
0,1000,1000,95,5329,0,164.7,587.6,7150,1357,16,5,4276
0,2000,2000,95,689,0,501.6,810.8,21390,6127,57,21,2532
0,2000,2000,95,3829,0,491,810.8,21114,5964,55,22,5793
0,2000,2000,103.5,3829,0,1147.7,790,21114,15500,108,94,5865
0,2000,2000,103.5,728,0,340.3,682,14803,3722,37,12,2484
0,2000,2000,95,728,0,345.1,699.9,14803,3784,37,13,2485
0,2000,2000,95,5335,0,1227.3,587.6,10983,10719,86,122,4387
0,2000,2000,103.5,5335,0,1229.3,568,10983,10593,85,107,4372
33.8,1980,1850,95,3473,0,1043.3,587.6,15351,9325,81,68,6195
33.8,1980,2075,95,5889,0,186.1,587.6,7663,2435,17,6,3717
33.8,1980,1001,95,1723,0,364.5,810.8,19602,4442,49,20,1497
33.8,1980,1001,95,1723,1234,364.5,810.8,19602,4442,49,20,2731
33.8,1980,974,103.5,4909,1234,1111.6,568,14108,9740,83,70,5995
