LP Lat,LP Alt,IP Alt,range,Azimuth,mass,Defl,QE,v0,Max Ord,TOF,Drift
25.0,406,166,6217,3348,103.5,6256,102.3,568.0,548,14,4
20.0,0,0,9377,3809,103.5,5800,274.9,568.0,830,25,9
20.0,0,300,9377,3809,103.5,5800,308.8,568.0,1012,25,9
20.0,0,1000,9377,3809,103.5,5801,388.5,568.0,1489,26,10
40.0,1662,1521,12514,4834,103.5,4837,1127.8,568.0,8422,77,71
40.0,1662,900,12514,4834,103.5,4841,1139.4,568.0,8504,79,75
25.0,406,166,6217,3348,95.0,6257,97.4,587.6,542,14,5
20.0,0,1000,9377,3809,95.0,5802,383.3,587.6,1490,25,11
40.0,1662,900,12514,4834,95.0,4851,1137.9,587.6,8595,80,85
40.0,1662,900,12514,4834,95.0,4782,431.1,587.6,2721,37,16
1.0,433,1574,14846,5677,103.5,3997,1147.3,682.0,10213,87,74
1.0,433,400,14846,5677,103.5,4004,1162.0,682.0,10341,91,81
1.0,433,800,14846,5677,95.0,3938,436.8,699.9,2878,41,15
1.0,433,2000,14846,5677,95.0,4001,1128.9,699.9,10009,85,78
37.3,2650,2283,16224,1596,103.5,1617,235.8,790.0,3847,33,13
25.0,406,166,6217,3348,103.5,6255,27.8,790.0,428,9,3
25.0,406,1000,19042,307,103.5,2974,1128.4,790.0,12458,100,81
10.0,1220,1600,19253,2141,103.5,1158,1160.6,790.0,14293,106,99
10.0,1220,1600,19253,2141,103.5,1076,443.7,790.0,4487,49,17
30.0,878,1400,18651,3178,103.5,40,444.2,790.0,4086,47,18
30.0,878,1400,18651,3178,103.5,126,1162.9,790.0,13677,104,104
10.0,1220,1205,19253,2141,95.0,1167,1151.1,810.0,14108,107,108
37.3,2650,2283,16224,1596,95.0,1618,239.6,810.8,3901,34,14
25.0,406,2500,19042,307,95.0,2915,604.9,810.8,5489,54,22
10.0,1220,1600,19253,2141,95.0,1165,1147.9,810.8,14071,105,106
30.0,878,779,18651,3178,95.0,43,424.5,810.8,3867,48,21
30.0,878,1400,18651,3178,95.0,43,459.3,810.8,4267,48,21
50.0,1680,0,17245,11,95.0,3209,387.6,699.9,3803,48,20
50.0,1680,800,17245,11,95.0,3210,438.8,699.9,4275,49,21
50.0,1680,800,17245,11,103.5,3207,427.2,682.0,4145,48,18
50.0,1680,800,17245,11,103.5,3265,1121.9,682.0,11826,95,76
60.0,2000,1200,15344,5591,103.5,4113,1196.4,682.0,12997,99,104
